ss_hiv_beta_m2f,ss_hiv_beta_fm2,maternal_hiv_beta,init_prev,duration_on_ART,cd4_start_dist,f0_prob,f1_prob,f2_prob,m0_prob,m1_prob,m2_prob,f0_conc,f1_conc,f2_conc,m0_conc,m1_conc,m2_conc,p_pair_form
0.1,0.05,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.05,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.05,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.05,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.05,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.05,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.05,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.05,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.05,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.05,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.05,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.05,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.05,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.05,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.05,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.1,0.05,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.1,0.05,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.1,0.05,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.1,0.05,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.1,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.1,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.1,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.1,0.1,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.1,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.1,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.1,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.1,0.2,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.1,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.1,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.1,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.1,0.3,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
0.1,0.1,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.4
0.1,0.1,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.4
0.1,0.1,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.01,0.1,0.01,0.2,0.5,0.6
0.1,0.1,0.4,0.07,18,800,0.85,0.14,0.01,0.78,0.21,0.01,0.0001,0.1,0.1,0.01,0.4,0.5,0.6
